density,seed,delta_requested,delta_actual,transmitted,err_m,r_err,feat0_next,next_obs_present
5.0,2001,7.8219051046217745,5.5,0,0.0,0.007498133835693443,nan,0
5.0,2001,6.1222359487569715,6.199999999999989,1,17.509163260504977,0.7639994915031313,0.6355137228965759,1
5.0,2001,6.402808348877973,6.5,1,0.20851301876868433,0.0006067740294548612,0.00024721334921196103,1
5.0,2001,2.2241762422069438,2.3000000000000114,1,0.0,0.0,0.0,1
5.0,2001,2.6650739351092176,2.700000000000003,1,0.065220678678088,3.8192905717203795e-05,2.419207157799974e-05,1
5.0,2001,0.4097257555693887,0.5,1,0.0,0.0,0.0,1
5.0,2001,0.7341975855850267,0.7999999999999972,1,0.0012758538988464352,9.375003626818305e-08,9.257949962204748e-09,1
5.0,2001,12.377444398796369,12.400000000000006,1,0.36352823142328816,0.003475045478838729,0.0007510397699661553,1
5.0,2001,2.3351622082566452,2.3999999999999915,1,2.449130288998049,0.021923077516735757,0.03298892453312874,1
5.0,2001,1.459536773132887,1.5,1,0.008755123460559844,7.505540692946401e-07,4.35950624932957e-07,1
5.0,2001,0.5115072037917601,0.7999999999999972,1,1.1510224574385859,0.005895089225565034,0.007478602230548859,1
5.0,2001,0.13224556942361443,0.20000000000000284,1,0.008122500939464317,4.856607365619616e-08,3.752254826849821e-07,1
5.0,2001,0.23360509395367232,0.29999999999999716,1,0.0002243548123317396,1.528006689383754e-08,2.8627519799151457e-10,1
5.0,2001,0.9238923984996852,1.0,1,0.0032355621444821736,2.444337027748278e-07,5.9540493424492524e-08,1
5.0,2001,0.2095255437873175,0.29999999999999716,1,1.061709614638545,0.0019172904743336079,0.006370141636580229,1
5.0,2001,8.535881660380046,3.0,0,0.0,6.388848880223823e-06,nan,0
5.0,2001,3.4790726926406745,3.5,1,3.377760007817816,0.04478672816226524,0.06093491613864899,1
5.0,2001,0.7430965083879782,0.7999999999999972,1,0.05073639794824203,5.481550623764544e-06,1.4640160770795774e-05,1
5.0,2001,19.87334616827638,19.9,1,1.4713181105526019,0.22275612728880315,0.01216218899935484,1
5.0,2001,3.653077819757712,3.700000000000003,1,0.0,0.0,0.0,1
5.0,2001,0.9237560309630247,1.0,1,3.5278326347658657,0.052310445525506934,0.06610395014286041,1
5.0,2001,0.16168455796059042,0.19999999999998863,1,0.13199103471015405,1.279651559615122e-05,9.907378989737481e-05,1
5.0,2001,10.394416580908558,10.400000000000006,1,16.463011897999934,0.6312503854239739,0.6065250039100647,1
5.0,2001,0.20749034352818724,0.29999999999999716,1,0.19483909900100116,3.1409619378122565e-05,0.0002158596325898543,1
