vid,reward,delta_actual,interval_steps,done,transmitted,r_err,r_power,cbr,i_redundant,error,term_err,term_pow,term_cong,term_red,bucket
F19_4.0,-0.258625658001962,0.3999999999999986,4,False,True,0.0,0.78864829000981,0.00448,1.0,0.0,0.0,0.157729658001962,0.000896,0.1,"[0.1, 0.5)"
F18_6.0,-0.2944954712713398,5.100000000000001,51,False,True,0.0005563954343760361,0.9666063677707589,0.00448,1.0,0.2355537817629738,0.00027819771718801806,0.1933212735541518,0.000896,0.1,"[2.0, 10.0)"
F18_12.0,-0.2264769720123711,0.8999999999999986,9,False,True,0.11583131794737565,0.8383265651934162,0.00448,0.0,8.27103747712214,0.05791565897368783,0.16766531303868326,0.000896,0.0,"[0.5, 2.0)"
F18_2.0,-0.21834223500240751,4.300000000000004,43,False,True,6.258931976169689e-05,0.5870747017126333,0.00448,1.0,0.0832456500384069,3.1294659880848446e-05,0.11741494034252667,0.000896,0.1,"[2.0, 10.0)"
F18_5.1,-0.28832062728481966,1.9000000000000057,19,False,True,6.15911118070052e-05,0.9369691586445807,0.00448,1.0,0.11908084197330027,3.07955559035026e-05,0.18739383172891616,0.000896,0.1,"[0.5, 2.0)"
F19_10.0,-0.17140191250681946,0.3999999999999986,4,False,True,0.004086808582205317,0.34231254107858405,0.00448,1.0,1.3556606362189996,0.0020434042911026584,0.06846250821571681,0.000896,0.1,"[0.1, 0.5)"
F19_4.0,-0.23491316440358684,0.5,5,False,True,0.0,0.6656058220179342,0.00896,1.0,0.0,0.0,0.13312116440358684,0.001792,0.1,"[0.5, 2.0)"
F18_6.0,-0.28181177321019335,0.19999999999999574,2,False,True,3.254640827799215e-07,0.9000980523907598,0.00896,1.0,0.019876529025168566,1.6273204138996075e-07,0.18001961047815196,0.001792,0.1,"[0.1, 0.5)"
F18_6.0,-0.1713411802435323,0.29999999999999716,3,False,True,1.3588086160751053e-07,0.35222556151550743,0.00448,1.0,0.010757065380857966,6.794043080375526e-08,0.07044511230310149,0.000896,0.1,"[0.1, 0.5)"
F19_5.0,-0.1076632715058918,3.3999999999999986,34,False,True,0.002855825146901506,0.026696794662205238,0.00448,1.0,0.9555085653273636,0.001427912573450753,0.005339358932441048,0.000896,0.1,"[2.0, 10.0)"
F19_4.0,-0.21895153726390876,0.6000000000000014,6,False,True,0.0,0.5902776863195437,0.00448,1.0,0.0,0.0,0.11805553726390874,0.000896,0.1,"[0.5, 2.0)"
F19_10.0,-0.20976004152082522,0.8000000000000043,8,False,True,2.8398105792978113e-07,0.5443194976514814,0.00448,1.0,0.01650568592322088,1.4199052896489057e-07,0.10886389953029628,0.000896,0.1,"[0.5, 2.0)"
F18_2.0,-0.13157963840600959,1.1000000000000014,11,False,True,2.1684394494433075e-06,0.15341277093142425,0.00448,1.0,0.03008240037570431,1.0842197247216538e-06,0.03068255418628485,0.000896,0.1,"[0.5, 2.0)"
F19_4.0,-0.24061253779506936,0.19999999999999574,2,False,True,0.0,0.6985826889753467,0.00448,1.0,0.0,0.0,0.13971653779506935,0.000896,0.1,"[0.1, 0.5)"
F19_10.0,-0.22837594747471474,0.30000000000000426,3,False,True,1.3449770936065545e-07,0.6373994011293002,0.00448,1.0,0.012597992906194122,6.724885468032773e-08,0.12747988022586004,0.000896,0.1,"[0.1, 0.5)"
F19_5.0,-0.26793121899070726,1.1000000000000014,11,False,True,0.00250932959837638,0.8289027709575953,0.00448,1.0,1.2249729509831013,0.00125466479918819,0.16578055419151908,0.000896,0.1,"[0.5, 2.0)"
F19_10.0,-0.19016896090315077,0.5,5,False,True,3.6936090903625994e-08,0.44636471217552665,0.00448,1.0,0.0033576872601770447,1.8468045451812997e-08,0.08927294243510533,0.000896,0.1,"[0.5, 2.0)"
F19_5.0,-0.13849906912610377,0.20000000000000284,2,False,True,5.620631876305205e-06,0.188001294050828,0.00448,1.0,0.08920465713981685,2.8103159381526023e-06,0.0376002588101656,0.000896,0.1,"[0.1, 0.5)"
F18_2.0,-0.10720554302176931,1.1000000000000014,11,False,True,8.947945641822773e-07,0.031545478122436035,0.00448,1.0,0.024283080250370404,4.4739728209113866e-07,0.006309095624487207,0.000896,0.1,"[0.5, 2.0)"
F18_12.1,-0.18214407552936773,4.899999999999999,49,False,True,0.0024283873296047196,0.3912094093228269,0.013439999999999999,1.0,0.17509400898916283,0.0012141936648023598,0.07824188186456538,0.002688,0.1,"[2.0, 10.0)"
F19_5.0,-0.18306489813805643,0.29999999999999716,3,False,True,2.7067391095445268e-05,0.40181682221254356,0.013439999999999999,1.0,0.17919260736380238,1.3533695547722634e-05,0.08036336444250872,0.002688,0.1,"[0.1, 0.5)"
F19_15.1,-0.29967448153122467,0.19999999999999574,2,False,True,0.0018751059962609452,0.9802446426654711,0.013439999999999999,1.0,1.2943001449175426,0.0009375529981304726,0.19604892853309422,0.002688,0.1,"[0.1, 0.5)"
F19_15.1,-0.12093253712082959,0.6000000000000014,6,False,True,7.986161755578206e-07,0.100180689063709,0.00448,1.0,0.02259334075915831,3.993080877789103e-07,0.0200361378127418,0.000896,0.1,"[0.5, 2.0)"
F19_18.0,-0.1975539164272877,8.700000000000003,87,False,True,0.004458746673490033,0.4721427154527134,0.00448,1.0,0.5600495568569386,0.0022293733367450166,0.09442854309054269,0.000896,0.1,"[2.0, 10.0)"
