Model,Round,delay,traffic,cache_hit
LSTM,17,0.87021,72.44,0.6861061488820327
LSTM,18,0.87702,80.822,0.6848150949845563
LSTM,19,0.81075,72.508,0.7004576013892438
LSTM,20,0.7955800000000001,70.164,0.6978662325110937
LSTM,21,0.8699,78.624,0.6752089580418598
LSTM,22,0.85961,79.46,0.6783522106822469
LSTM,23,0.87371,74.11,0.6930546244145616
LSTM,24,0.8192699999999999,72.524,0.6883235825344293
LSTM,25,0.87949,80.198,0.6873283145291565
LSTM,26,0.78614,70.416,0.7031214205461715
LSTM,27,0.7940600000000001,70.802,0.6988197911220914
LSTM,28,0.90904,82.682,0.6802817246426727
LSTM,29,0.8788100000000001,75.342,0.6787219487793996
LSTM,30,0.8460700000000001,75.486,0.6951905845621736
LSTM,31,0.8017232021709634,69.86431478968792,0.6880304880226625
MLP,0,0.98239,95.41,0.6275564675977862
MLP,1,0.92348,89.696,0.6559174810317826
MLP,2,0.9283100000000001,88.788,0.6496758823731444
MLP,3,0.98096,96.74,0.6408395194341626
MLP,4,0.93247,93.488,0.6496181382320667
MLP,5,0.91722,97.006,0.6499385191872162
MLP,6,0.9229700000000001,83.308,0.6554996516586389
MLP,7,0.9234600000000001,90.188,0.6525977104334593
MLP,8,0.9193000000000001,92.504,0.6537325967237534
MLP,9,0.93322,95.538,0.6509238298730304
MLP,10,0.8986700000000001,91.976,0.6629687633820607
MLP,11,0.94453,91.496,0.6544628926651901
MLP,12,0.9108,90.666,0.6480242595457134
MLP,13,0.86397,82.804,0.6676665862840813
MLP,14,0.89871,92.324,0.6535773852039639
MLP,15,0.979,93.004,0.641703513060149
MLP,16,0.95915,97.19,0.6421746029061971
MLP,17,0.92723,88.434,0.6590273582573579
MLP,18,0.96415,97.35,0.6453961412452808
MLP,19,0.9438300000000001,90.51,0.6440906809512569
MLP,20,0.8913,86.364,0.6640435421209554
MLP,21,0.9693200000000001,94.526,0.6415829751304327
MLP,22,0.9263899999999999,94.496,0.6475141091461892
MLP,23,0.98143,100.438,0.6472909570483794
MLP,24,0.9081800000000001,85.606,0.6522832313806167
MLP,25,0.9995700000000001,103.866,0.6371261248380087
MLP,26,0.90576,93.396,0.6593008178942049
MLP,27,0.9100400000000001,93.474,0.6470674533338685
MLP,28,0.99574,97.612,0.644544380396381
MLP,29,0.97421,94.128,0.6440871644897457
MLP,30,0.9538300000000001,91.39,0.6496603011165406
MLP,31,0.9106241519674355,87.73134328358209,0.6447896644073571
NGBoost,0,0.7139300000000001,103.012,0.727017692702883
NGBoost,1,0.6855399999999999,100.266,0.7310482312163512
NGBoost,2,0.73666,105.002,0.713248430609701
NGBoost,3,0.79898,108.542,0.7112849216982279
NGBoost,4,0.7075600000000001,101.548,0.7271740352657251
NGBoost,5,0.67386,104.046,0.739581879125013
NGBoost,6,0.7529600000000001,100.678,0.7215238782524299
NGBoost,7,0.72349,106.102,0.7349287799911948
NGBoost,8,0.7143999999999999,104.92,0.7276314419654825
NGBoost,9,0.69804,102.83,0.7290278316781481
NGBoost,10,0.71075,107.286,0.7286556490880165
NGBoost,11,0.7624500000000001,103.622,0.726213841723626
NGBoost,12,0.70394,103.958,0.7340101855041191
NGBoost,13,0.6392899999999999,95.802,0.744355022216548
NGBoost,14,0.69816,105.93,0.7212450544952053
NGBoost,15,0.7389300000000001,102.266,0.7178314136755269
NGBoost,16,0.74891,109.466,0.7228228330602536
NGBoost,17,0.75647,106.082,0.713431597707669
NGBoost,18,0.74233,106.352,0.7278377287311419
NGBoost,19,0.70284,102.766,0.7338268969580172
NGBoost,20,0.71662,102.654,0.7197802472891273
NGBoost,21,0.73524,106.194,0.7254119320401093
NGBoost,22,0.71328,104.268,0.7272846126074844
NGBoost,23,0.7904200000000001,109.972,0.7123319235482347
NGBoost,24,0.70806,103.642,0.7261751999670509
NGBoost,25,0.74855,106.838,0.7239887174485001
NGBoost,26,0.69035,102.282,0.7334338208859482
NGBoost,27,0.6849700000000001,104.33,0.736672033278663
NGBoost,28,0.80796,111.908,0.7180244902990047
NGBoost,29,0.74874,102.82,0.7309115980358267
NGBoost,30,0.72599,107.102,0.7231656557860693
NGBoost,31,0.6445047489823609,99.03392130257802,0.738345876670474
RF,0,0.6024400000000001,65.646,0.8075737346464087
RF,1,0.59649,63.358,0.804680221357885
RF,2,0.63566,67.358,0.7926985974420852
RF,3,0.6720900000000001,67.4,0.7963350494776162
RF,4,0.6404500000000001,68.314,0.7921287279143625
RF,5,0.57512,64.134,0.8098146034385811
RF,6,0.6607000000000001,62.914,0.7978312174502312
RF,7,0.61738,67.326,0.8074427246701308
RF,8,0.61951,68.368,0.8008896678224197
RF,9,0.6213500000000001,67.9,0.7989756553908135
